,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Country,Survey,Characteristic,Women with no education,Women with completed primary education,Women with completed secondary education,Women with more than secondary education,Women with primary education,Women with secondary or higher education,Median years of education completed [Women],Women who can read a whole sentence,Women who are literate
Malawi,2010 DHS,Region : ..Mwanza,15.4,8.8,5.7,0.9,67.7,16.9,4.3,44.4,73.5
Malawi,2010 DHS,Region : ..Neno,15.8,10.1,4.4,0.6,68.1,16,4.7,43.3,70.9
Malawi,2010 DHS,Region : ..Nsanje,29.8,6.9,3,1,57.8,12.4,2.8,21.8,49.1
Malawi,2010 DHS,Region : ..Phalombe,15.9,13.6,1.8,0.1,75.8,8.3,3.9,49.3,63.8
Malawi,2010 DHS,Region : ..Thyolo,12.6,9.5,5.3,0.9,69.9,17.5,4.6,39.4,67.8
Malawi,2010 DHS,Region : ..Zomba,9,10.1,5,3.5,70.1,20.9,5.1,50.7,75.4
Malawi,2004 DHS,Total 15-49,22.6,10.1,5.3,0.7,61.9,15.5,4.1,38.3,62.4
Malawi,2004 DHS,Region : Northern,8.6,19.9,6.9,0.7,69.4,22.1,6.5,45.3,78.2
Malawi,2004 DHS,Region : Central,24,8.2,5.8,0.8,60.3,15.8,3.8,36.5,60.9
Malawi,2004 DHS,Region : Southern,25.4,8.9,4.4,0.7,61.3,13.3,3.5,37.8,59.1
Malawi,2000 DHS,Total 15-49,27,8,3.8,0.1,61.9,11.1,3.1,37.5,56.5
Malawi,2000 DHS,Region : Northern,11.1,16.2,4,0,74.4,14.5,5.6,47.8,70.8
Malawi,2000 DHS,Region : Central,26.9,7.1,2.9,0.1,63.7,9.4,2.8,39.1,56.4
Malawi,2000 DHS,Region : Southern,30.7,6.8,4.4,0.1,57.5,11.8,2.7,33.9,53.3
Malawi,1992 DHS,Total 15-49,47.2,6.7,1.3,0.2,48.5,4.4,0.4,,
Malawi,1992 DHS,Region : Northern,20.2,15.8,1.9,0.1,71.9,7.9,4.6,,
Malawi,1992 DHS,Region : Central,48.7,5.2,1.2,0.2,47.2,4,0.1,,
Malawi,1992 DHS,Region : Southern,52.4,5.7,1.3,0.2,43.8,3.8,,,
Maldives,2016-17 DHS,Total 15-49,4.2,12.9,4.4,21,22.2,73.6,9.4,72.6,98.9
Maldives,2016-17 DHS,Region : Central,8.8,16.7,2.9,10.4,28.2,63.1,9.1,73.2,98.2
Maldives,2016-17 DHS,Region : Malé,3.1,8.4,5.9,31.7,14.5,82.4,9.7,63.8,99
Maldives,2016-17 DHS,Region : North,4.5,18.4,2.6,9.3,32.1,63.4,9,84.4,98.3
Maldives,2016-17 DHS,Region : North Central,3.6,17.2,3.1,12.1,29.9,66.5,9.2,82.4,99.7
Maldives,2016-17 DHS,Region : South Central,3.9,16.3,1.9,14.1,29.6,66.5,9.1,78.9,99.5
Maldives,2016-17 DHS,Region : South,6.2,14.3,5.3,15.4,22.9,70.9,9.2,76.6,98.4
Maldives,2009 DHS,Total 15-49,23.4,20.8,1.5,4.7,34.6,40.9,6.6,,
Maldives,2009 DHS,Region : Central,27.9,25.1,0.9,1.4,41.6,29.9,6.2,,
Maldives,2009 DHS,Region : Malé,12.2,17.6,3.3,11,28.5,58.1,8.5,,
Maldives,2009 DHS,Region : North,29.6,24.7,0.2,0.7,40.4,29.5,6.2,,
Maldives,2009 DHS,Region : North Central,35.2,21.8,0.4,1.1,34.2,29.5,6.1,,
Maldives,2009 DHS,Region : South Central,30.9,20.4,0.5,1,36.1,31.6,6.1,,
Maldives,2009 DHS,Region : South,22.1,20.4,0.8,3.3,36.8,39.2,6.5,,
Mozambique,2018 MIS,Total 15-49,22,8.3,7.2,1.9,49.3,28.7,4.3,35.9,50.5
Mozambique,2018 MIS,Region : Niassa,37.2,5.2,2.5,0.4,49.3,13.5,2.6,18.2,28.1
Mozambique,2018 MIS,Region : Cabo Delgado,35.1,7.7,1.9,0.3,57,7.9,2.2,12.3,17.5
Mozambique,2018 MIS,Region : Nampula,29.4,5.8,6.9,1.3,48.8,21.8,3,25.4,40.1
Mozambique,2018 MIS,Region : Zambézia,21.2,6.3,10.3,0.3,54.5,24.4,3.5,28,36.5
Mozambique,2018 MIS,Region : Tete,21.3,8,4,0.7,61.8,16.9,3.8,28.6,47
Mozambique,2018 MIS,Region : Manica,25.9,11,4.8,1.6,43.9,30.2,4.7,37.3,54
Mozambique,2018 MIS,Region : Sofala,24,10,4.7,2.5,47.7,28.3,4.4,34.1,50.8
Mozambique,2018 MIS,Region : Inhambane,13.3,11.8,6,2,47.1,39.6,6.1,60.2,76.9
Mozambique,2018 MIS,Region : Gaza,10.3,13,8.7,2.7,53.8,35.8,5.9,53.9,73.9
Mozambique,2018 MIS,Region : Maputo Provincia,6.7,11,8.5,3.9,38.4,54.9,7.2,64.4,84.9
Mozambique,2018 MIS,Region : Maputo Cidade,4,9.4,17.7,9,30.1,65.9,9,69.8,90
Mozambique,2015 AIS,Total 15-49,26,7.7,3.7,1.6,51.3,22.8,3.5,,
Mozambique,2015 AIS,Region : Niassa,30.1,6,5.2,0.9,50.5,19.4,2.7,,
Mozambique,2015 AIS,Region : Cabo Delgado,24,7,3.3,0.6,58.3,17.7,3,,
Mozambique,2015 AIS,Region : Nampula,35,5.5,2.4,2.1,52,13,1.7,,
Mozambique,2015 AIS,Region : Zambézia,32.6,6.5,2.5,0.9,54.8,12.6,2.1,,
Mozambique,2015 AIS,Region : Tete,40.4,4.2,1.5,0.3,51.5,8.1,1.6,,
Mozambique,2015 AIS,Region : Manica,26.6,9.3,3.6,1.6,47.7,25.7,4.5,,
Mozambique,2015 AIS,Region : Sofala,29.7,8.5,2.7,1.1,47.4,22.9,3,,
Mozambique,2015 AIS,Region : Inhambane,19.7,11.6,4.1,0.9,49.5,30.8,5,,
Mozambique,2015 AIS,Region : Gaza,13.1,8.7,2.5,1.7,59.8,27,4.7,,
Mozambique,2015 AIS,Region : Maputo Provincia,7.3,14.7,8,1.2,49,43.7,6.5,,
Mozambique,2015 AIS,Region : Maputo Cidade,3.9,8.1,10.6,6.7,35.4,60.7,7.7,,
Mozambique,2011 DHS,Total 15-49,31.2,7.3,2.3,1.2,51.7,17.1,2.8,14,40.2
Mozambique,2011 DHS,Region : Niassa,47.8,6.9,2.2,0.8,40.5,11.7,0.6,7.8,31.8
Mozambique,2011 DHS,Region : Cabo Delgado,45.2,4.2,1.2,0.3,47.5,7.3,0.8,7.3,24.5
Mozambique,2011 DHS,Region : Nampula,32.1,4.9,1.9,0.3,57.5,10.4,2.2,11.5,28.2
Mozambique,2011 DHS,Region : Zambézia,36,3.2,0.7,0.4,56.9,7.1,1.3,9.6,24.6
Mozambique,2011 DHS,Region : Tete,44.6,4.7,1.9,0.2,43.3,12.1,1.4,5.8,23.8
Mozambique,2011 DHS,Region : Manica,21,12.5,2.3,0.5,54.8,24.2,4.6,17.7,49.4
Mozambique,2011 DHS,Region : Sofala,35,7.4,3,2.6,47.3,17.7,2.4,11.3,39.6
Mozambique,2011 DHS,Region : Inhambane,27.6,9,2.8,0.2,54.8,17.6,3.7,19.3,51.7
Mozambique,2011 DHS,Region : Gaza,25.9,9.4,2,0.6,55.6,18.5,3.8,24.1,55.8
Mozambique,2011 DHS,Region : Maputo Provincia,8.9,14.3,4.1,1.1,53.9,37.2,6.1,31,76.8
Mozambique,2011 DHS,Region : Maputo Cidade,3.1,14.6,6.5,8.3,47.2,49.8,7,24.5,85.7
Mozambique,2009 AIS,Total 15-49,29.5,6.2,,0.8,57.5,13,1.5,,
Mozambique,2009 AIS,Region : Niassa,61,4.7,,0.3,31.3,7.6,,,
Mozambique,2009 AIS,Region : Cabo Delgado,22,5.4,,0,70.2,7.8,1.5,,
Mozambique,2009 AIS,Region : Nampula,29.5,5,,0.4,60.5,10,1.3,,
Mozambique,2009 AIS,Region : Zambézia,31,4.5,,0,62.1,7,0.8,,
Mozambique,2009 AIS,Region : Tete,52.1,3.2,,0,42.2,5.7,,,
Mozambique,2009 AIS,Region : Manica,28.7,9.5,,0.2,61.4,10,2.3,,
Mozambique,2009 AIS,Region : Sofala,36,5.3,,0.2,52.5,11.6,0.7,,
Mozambique,2009 AIS,Region : Inhambane,24.5,11.6,,0,63.1,12.4,3.2,,
Mozambique,2009 AIS,Region : Gaza,18.4,8.1,,0.1,68.8,12.9,2.7,,
Mozambique,2009 AIS,Region : Maputo Provincia,11.8,9.8,,1,60.2,28,4.7,,
Mozambique,2009 AIS,Region : Maputo Cidade,3.6,7.7,,8.8,45.5,50.9,6.5,,
Mozambique,2003 DHS,Total 15-49,41.1,2.9,0.6,0.2,51.1,7.8,1,23.4,37.5
Mozambique,2003 DHS,Region : Niassa,52.8,1.4,0,0.2,43.3,4,,8.6,16.6
Mozambique,2003 DHS,Region : Cabo Delgado,43,1.1,0.2,0,55.1,1.9,,9.6,15.5
Mozambique,2003 DHS,Region : Nampula,51.8,2,0.2,0,44.6,3.6,,14.7,24.1
Mozambique,2003 DHS,Region : Zambézia,56,1.8,0.3,0,41.5,2.6,,11.5,19.9
Mozambique,2003 DHS,Region : Tete,49.7,1.8,0.3,0,45.2,5.1,,15.8,27.1
Mozambique,2003 DHS,Region : Manica,43.8,2.9,0.2,0,51.1,5,0.9,31.1,39.9
Mozambique,2003 DHS,Region : Sofala,50.2,2.3,0.8,0,42.5,7.3,,20.1,33.7
Mozambique,2003 DHS,Region : Inhambane,34.7,4.1,0.1,0,58.9,6.4,2.1,39.5,54.1
Mozambique,2003 DHS,Region : Gaza,27.5,3,0.2,0,66.2,6.4,2.6,39.8,55.3
Mozambique,2003 DHS,Region : Maputo Provincia,14.9,6.1,1.4,0.1,69.7,15.4,4.1,45.9,70.3
Mozambique,2003 DHS,Region : Maputo Cidade,5.8,6.8,3.1,2.5,59.6,34.5,5.4,40.7,82
Mozambique,1997 DHS,Total 15-49,42.9,2.9,0.4,0.1,52.7,4.4,0.4,,
Mozambique,1997 DHS,Region : Niassa,54.2,1.3,0.1,0,43.7,2,,,
Mozambique,1997 DHS,Region : Cabo Delgado,53.1,1.1,0,0,46.7,0.2,,,
Mozambique,1997 DHS,Region : Nampula,54.2,1.1,0.2,0,44.2,1.6,,,
Mozambique,1997 DHS,Region : Zambézia,40.5,2.6,0.1,0.1,57.1,2.4,0.7,,
Mozambique,1997 DHS,Region : Tete,52.4,1.5,0,0,46.4,1.2,,,
Mozambique,1997 DHS,Region : Manica,44.5,2.5,0.2,0,53.5,2,,,
Mozambique,1997 DHS,Region : Sofala,52.3,1.1,0.1,0,45.9,1.8,,,
Mozambique,1997 DHS,Region : Inhambane,30.7,2.6,0.2,0.1,65.3,4,1.9,,
Mozambique,1997 DHS,Region : Gaza,40.5,2.5,0,0,54.4,5.1,1.4,,
Mozambique,1997 DHS,Region : Maputo Provincia,27.5,10,1.1,0,56.9,15.6,3.5,,
Mozambique,1997 DHS,Region : Maputo Cidade,12.3,9.3,2.8,0.6,69.8,17.9,4.5,,
Namibia,2013 DHS,Total 15-49,4.6,6.1,17.8,10.1,19.6,75.8,9.1,13.2,93.4
Namibia,2013 DHS,Region : Central,3.8,4.5,24,17.3,12.7,83.5,9.8,7.9,94.2
Namibia,2013 DHS,Region : Northwest,3.9,7.1,13.2,5.9,21.9,74.2,8.6,17.5,94.4
Namibia,2013 DHS,Region : ..Omusati,4.4,9.8,7.9,3.9,24.5,71,8.2,19.9,93.9
Namibia,2013 DHS,Region : ..Ohangwena,4.8,7.7,8.3,3.3,29.3,65.9,7.9,21.5,91.6
Namibia,2013 DHS,Region : ..Oshana,0.9,2.7,22.8,10.9,11.6,87.5,9.5,10.1,98
Namibia,2013 DHS,Region : ..Oshikoto,5.2,7.5,15.9,6.3,20.4,74.5,8.7,17.4,94.9
Namibia,2013 DHS,Region : Kunene,21.9,4.1,9.3,3.9,22.2,55.9,7.6,15.5,76.5
Namibia,2013 DHS,Region : Northeast,6.1,8.6,13.4,3.5,33.4,60.6,8,17.9,90.9
Namibia,2013 DHS,Region : ..Zambezi,5,4.6,15,5,17.2,77.8,8.7,8.2,92.1
Namibia,2013 DHS,Region : ..Kavango,6.6,10.8,12.5,2.7,42.2,51.1,7.1,23.1,90.3
Namibia,2013 DHS,Region : ..Omaheke,17.2,7.8,9.7,4.1,23.8,59,7.8,10.3,77.2
Namibia,2013 DHS,Region : ..Otjozondjupa,9.5,8.3,15.6,4.9,23.5,67,8.6,14.9,87.3
Namibia,2013 DHS,Region : ..Erongo,1,4.2,24.6,9.4,13.3,85.7,9.6,9.3,97.6
Namibia,2013 DHS,Region : ..Khomas,2,3.3,27.2,24.4,8.7,89.2,11.1,5.4,96.5
Namibia,2013 DHS,Region : ..Hardap,3.2,7.1,16.9,5.2,19.9,76.9,9,12.7,95.4
Namibia,2013 DHS,Region : ..Karas,1.7,6.6,18.1,6.6,18.7,79.6,9.1,11.2,95.9
Namibia,2013 DHS,Region : South,2.4,6.8,17.5,5.9,19.2,78.4,9.1,11.9,95.7
Namibia,2006-07 DHS,Total 15-49,6.6,7.5,12.6,7,24.8,68.5,8.5,15.9,90.9
Namibia,2006-07 DHS,Region : Central,5.4,5.2,19.8,11.3,16.2,78.4,9.3,10.8,92.8
Namibia,2006-07 DHS,Region : Northwest,4.7,8.8,8.3,4.3,29.7,65.6,8.2,22.1,94.1
Namibia,2006-07 DHS,Region : ..Omusati,2.9,7.8,8.1,4.5,26.8,70.3,8.4,20.3,95.8
Namibia,2006-07 DHS,Region : ..Ohangwena,6.6,12.5,5.5,2.6,37.6,55.9,7.5,30,92.9
Namibia,2006-07 DHS,Region : ..Oshana,2.5,6.6,12.6,5.7,21.1,76.4,8.7,15.6,96.1
Namibia,2006-07 DHS,Region : ..Oshikoto,6.8,7.6,7.9,4.6,31.5,61.7,8.1,20.7,91.6
Namibia,2006-07 DHS,Region : Kunene,28.1,7.9,8.8,4.5,27.8,44.1,6.3,13.4,68.1
Namibia,2006-07 DHS,Region : Northeast,12.3,9.1,3.3,3.6,35.8,52,7.2,14.2,80.4
Namibia,2006-07 DHS,Region : ..Zambezi,5.5,8.5,2.2,4.4,29,65.5,8.2,11.5,88.3
Namibia,2006-07 DHS,Region : ..Kavango,15.7,9.3,3.9,3.2,39.3,45.1,6.5,15.6,76.5
Namibia,2006-07 DHS,Region : ..Omaheke,17.7,8.3,7.9,5.1,23.2,59.1,7.9,13,77.8
Namibia,2006-07 DHS,Region : ..Otjozondjupa,13.6,7.5,11.2,3.7,29,57.4,7.7,16.4,83.9
Namibia,2006-07 DHS,Region : ..Erongo,3.1,7.4,22.6,6.7,17.9,78.9,9.3,14.6,95.8
Namibia,2006-07 DHS,Region : ..Khomas,2,3.4,23.1,15.6,11.3,86.7,9.8,7.9,96.7
Namibia,2006-07 DHS,Region : ..Hardap,6.1,9.3,11.6,3.8,26.2,67.7,8.2,18.3,91
Namibia,2006-07 DHS,Region : ..Karas,1.4,10.1,19.4,5.9,20.8,77.8,8.9,13,96.5
Namibia,2006-07 DHS,Region : South,3.7,9.7,15.5,4.9,23.5,72.8,8.6,15.6,93.8
Namibia,2000 DHS,Total 15-49,9.5,12.2,12,2.4,33.1,57.4,7.6,21.1,86.7
Namibia,2000 DHS,Region : Central,11,10.3,17.4,3.3,24.5,64.5,8.1,14.9,87.8
Namibia,2000 DHS,Region : Northwest,6.3,13,8.6,2,39.6,54.1,7.3,29.6,91.6
Namibia,2000 DHS,Region : ..Omusati,6.2,15.3,5.6,1.2,39.5,54.3,7.4,34.5,94.5
Namibia,2000 DHS,Region : ..Ohangwena,10.3,12.1,1.7,1.2,52.8,36.9,5.9,34.4,85.6
Namibia,2000 DHS,Region : ..Oshana,2,12.7,17.6,3.1,31,67,8.1,23.6,94.5
Namibia,2000 DHS,Region : ..Oshikoto,7.7,11.8,8.1,2.4,35.9,56.4,7.4,26.4,91.1
Namibia,2000 DHS,Region : Kunene,30.5,8.9,7.3,4.1,29.7,39.8,5.8,17.8,67.8
Namibia,2000 DHS,Region : Northeast,14.1,15.1,5.6,1.2,41,44.9,6.7,15,70.3
Namibia,2000 DHS,Region : ..Zambezi,10.3,19.5,6.7,1,37.5,52.2,7.2,10,68.7
Namibia,2000 DHS,Region : ..Kavango,16.5,12.4,4.9,1.4,43.1,40.5,6.2,18.1,71.2
Namibia,2000 DHS,Region : ..Omaheke,37.8,10.7,4,1.4,28.8,33.4,4.5,19.8,59
Namibia,2000 DHS,Region : ..Otjozondjupa,19,11.7,7.8,2.3,32.8,48.2,6.8,20.8,80.8
Namibia,2000 DHS,Region : ..Erongo,2.4,8.7,20.6,5.2,21,76.6,9,9.1,94.9
Namibia,2000 DHS,Region : ..Khomas,5.2,10.1,23.7,3.4,20.5,74.3,8.9,12.9,93.7
Namibia,2000 DHS,Region : ..Hardap,5.8,18.2,12.3,2,32,62.2,7.8,16.3,85.8
Namibia,2000 DHS,Region : ..Karas,2.7,7.4,22.1,2.1,20.1,77.2,8.9,13.9,92.7
Namibia,2000 DHS,Region : South,4.3,13.1,17,2,26.4,69.3,8.3,15.1,89.1
Namibia,1992 DHS,Total 15-49,14.5,9.4,4.9,1.9,48.4,37.1,5.7,,
Namibia,1992 DHS,Region : Northwest,11.2,8.8,2.3,0.9,57.8,31,5.2,,
Namibia,1992 DHS,Region : Northeast,18.6,9.2,1.6,0.1,58.6,22.8,4.6,,
Namibia,1992 DHS,Region : Central/South 1992,16.2,10,8.7,3.6,35.2,48.6,6.7,,
Nepal,2016 DHS,Total 15-49,33.3,5.5,9.5,14.9,16.7,50,5,45.4,69.1
Nepal,2016 DHS,Region : Central,35.7,5.1,8.4,17.8,17,47.3,4.5,38.5,64.5
Nepal,2016 DHS,Region : Eastern,32.1,5.5,11.7,12.7,16.5,51.4,5.4,46.5,67.9
Nepal,2016 DHS,Region : Western,24,6.3,10.2,16.8,19,57.1,6.4,51.6,78.1
Nepal,2016 DHS,Region : Midwestern,38.1,5.8,8.5,10.2,15.9,46,4.3,50.4,71.6
Nepal,2016 DHS,Region : Farwestern,40.9,4.6,8.4,11.3,12.3,46.9,4.3,48.3,67
Nepal,2016 DHS,Region : Province 1,25.6,6.3,12.4,14.6,17.8,56.6,6.5,53.2,77.7
Nepal,2016 DHS,Region : Province 2,53.3,4.3,6.4,5.8,17.4,29.3,,24.9,38.5
Nepal,2016 DHS,Region : Province 3,23.4,5.3,10.7,26.2,15.5,61.1,7.6,48,82
Nepal,2016 DHS,Region : Province 4,19.4,7.2,10.7,18.3,18.9,61.7,7,59.5,86.4
Nepal,2016 DHS,Region : Province 5,31,6,9.3,12.9,18.8,50.2,5.1,48.7,72.6
Nepal,2016 DHS,Region : Province 6,41.9,4.4,8.2,11.5,12.7,45.4,3.9,44.6,66.2
Nepal,2016 DHS,Region : Province 7,40.9,4.6,8.4,11.3,12.3,46.9,4.3,48.3,67
Nepal,2016 DHS,Region : Mountain,40.5,5.5,7.5,12.4,15.1,44.4,4,44.4,64.3
Nepal,2016 DHS,Region : Hill,25.3,5.6,10.8,19.1,16.8,57.8,6.8,52.8,80.8
Nepal,2016 DHS,Region : Terai,39.2,5.3,8.7,11.6,16.8,44,3.8,39.1,59.8
Nepal,2011 DHS,Total 15-49,39.8,5.5,10.6,7.8,17.4,42.8,3.5,15.8,66.7
Nepal,2011 DHS,Region : Central,45,4.5,9.1,10.7,16,39,1.9,13.2,59.6
Nepal,2011 DHS,Region : Eastern,31,4.5,14.6,6.5,18.7,50.3,5.1,15,71.9
Nepal,2011 DHS,Region : Western,32.3,8.1,11.4,7.7,19.6,48.1,4.8,20,77
Nepal,2011 DHS,Region : Midwestern,47.8,4.8,8,5,16.6,35.6,1,18.5,62.2
Nepal,2011 DHS,Region : Farwestern,50.3,6.4,7.4,4.6,15.6,34.2,,14.9,61.2
Nepal,2006 DHS,Total 15-49,53.1,5.3,4.6,4.1,17.6,29.3,,16.3,54.5
Nepal,2006 DHS,Region : Central,55.8,4,5.9,5.2,16.8,27.4,,14.7,50.5
Nepal,2006 DHS,Region : Eastern,49.7,4.6,4.9,4.1,17.6,32.7,,16.4,55.9
Nepal,2006 DHS,Region : Western,42.4,7.7,4.4,4.8,21.7,35.9,2.5,20.1,64.6
Nepal,2006 DHS,Region : Midwestern,58.4,5.1,4.1,2.8,16.6,25,,15.9,54.7
Nepal,2006 DHS,Region : Farwestern,62.3,6.7,2,1.4,14.9,22.9,,15.1,48.1
Nepal,2001 DHS,Total 15-49,72,3.1,2.7,1.2,14.8,13.2,,15.4,35.3
Nepal,2001 DHS,Region : Central,74.6,2.6,3,1.4,13.9,11.5,,10.5,27.9
Nepal,2001 DHS,Region : Eastern,67,3.8,3,1.5,16.5,16.5,,15.4,38.1
Nepal,2001 DHS,Region : Western,62,4.5,3.3,1.5,19.9,18.1,,26.9,50.9
Nepal,2001 DHS,Region : Midwestern,80.1,2.2,1.7,0.6,10.7,9.2,,12.9,32.4
Nepal,2001 DHS,Region : Farwestern,84.8,2,1.1,0.1,8.9,6.3,,11.5,24.4
Nepal,1996 DHS,Total 15-49,80,2.2,1.6,1.1,11,9,,,
Nepal,1996 DHS,Region : Central,79.4,2,2.3,1.6,10.9,9.7,,,
Nepal,1996 DHS,Region : Eastern,76.3,2.2,1.6,1.3,12.2,11.5,,,
Nepal,1996 DHS,Region : Western,76.1,3.4,1.5,1,13.9,10,,,
Nepal,1996 DHS,Region : Midwestern,85.6,1.6,1,0.8,8.5,5.8,,,
Nepal,1996 DHS,Region : Farwestern,90.2,1.5,0.4,0,6.2,3.7,,,
Nicaragua,2001 DHS,Total 15-49,14.4,13.8,10.2,9.9,39.5,46,5.7,35.5,84.8
Nicaragua,2001 DHS,Region : Nueva Segovia,16.9,18.5,6.9,6.1,50.9,32.3,5,46.1,82.3
Nicaragua,2001 DHS,Region : Jinotega,33.8,7,2.1,3.4,50.3,15.9,1.9,44.8,67
Nicaragua,2001 DHS,Region : Madriz,18.2,15.1,7.7,3.9,52.8,29,4,47.7,79.4
Nicaragua,2001 DHS,Region : Estelí,6.2,17.4,10.9,10.7,44.4,49.4,6,40.2,92.4
Nicaragua,2001 DHS,Region : Chinandega,12.5,15.3,9.6,7.3,45.5,42.1,5.5,40,85
Nicaragua,2001 DHS,Region : León,9.2,17.9,11.9,9.7,44.6,46.2,5.8,40.2,90.3
Nicaragua,2001 DHS,Region : Matagalpa,23.7,13.6,7.1,4.8,44.5,31.9,3.9,40.7,76
Nicaragua,2001 DHS,Region : Boaco,23.4,11.9,7.9,6.8,43.6,33,4.1,39.8,76.3
Nicaragua,2001 DHS,Region : Managua,4.6,13.8,15.3,16.2,28.6,66.8,7.9,25.9,94.5
Nicaragua,2001 DHS,Region : Masaya,9.9,15.5,8.7,11.7,41.3,48.8,5.9,38.6,89.5
Nicaragua,2001 DHS,Region : Chontales,19.8,10.6,9.3,10,37.8,42.4,5.3,34.3,82.3
Nicaragua,2001 DHS,Region : Granada,8.9,15.9,10.5,11.1,40.8,50.4,6,37.1,90.1
Nicaragua,2001 DHS,Region : Carazo,10.9,11.4,13.3,12.7,34.7,54.4,6.7,32.1,89
Nicaragua,2001 DHS,Region : Rivas,11.5,20.1,7.6,6.9,50,38.5,5.4,46.6,88.6
Nicaragua,2001 DHS,Region : Río San Juan,34.4,9.5,5.7,2.6,42.6,23,2.6,36.6,67.7
Nicaragua,2001 DHS,Region : Atlántico Norte (Raan),33.5,11.1,3.8,2.1,41.6,24.9,2.8,31.8,61.1
Nicaragua,2001 DHS,Region : Atlántico Sur (Raas),30.6,8.5,5.6,6.8,39.2,30.2,3.1,36.4,71
Nicaragua,1998 DHS,Total 15-49,15.5,13.4,12.2,6.5,40.4,44,5.6,,
Nicaragua,1998 DHS,Region : Nueva Segovia,20.5,16.7,11.8,1.7,47.3,32.2,4.7,,
Nicaragua,1998 DHS,Region : Jinotega,38.2,9.9,4.6,1.7,46,15.9,1.8,,
Nicaragua,1998 DHS,Region : Madriz,22,13,9.8,1.8,50.2,27.9,3.8,,
Nicaragua,1998 DHS,Region : Estelí,9.4,16.8,12.2,6.9,48.1,42.5,5.6,,
Nicaragua,1998 DHS,Region : Chinandega,14.8,14.4,11.7,4.3,47.3,37.8,5.2,,
Nicaragua,1998 DHS,Region : León,13.8,13.7,13.1,7.5,40.7,45.5,5.7,,
Nicaragua,1998 DHS,Region : Matagalpa,25.8,13.6,6.2,3.6,44,30.2,3.9,,
Nicaragua,1998 DHS,Region : Boaco,25.5,12.4,8.2,2.6,45.5,29,3.7,,
Nicaragua,1998 DHS,Region : Managua,6.6,13.5,16.1,10.1,32.4,61,7.2,,
Nicaragua,1998 DHS,Region : Masaya,14.3,12.7,12,9.9,38.7,47,5.8,,
Nicaragua,1998 DHS,Region : Chontales,24,12.1,12.7,3.7,38.4,37.6,4.9,,
Nicaragua,1998 DHS,Region : Granada,12.3,14.7,14,6.7,43.1,44.6,5.6,,
Nicaragua,1998 DHS,Region : Carazo,8.6,11.4,17,9.8,37.8,53.6,6.6,,
Nicaragua,1998 DHS,Region : Rivas,11.7,17.9,10.4,4.6,49.8,38.4,5.4,,
Nicaragua,1998 DHS,Region : Río San Juan,30.6,12.3,9.4,0.8,45.6,23.9,3,,
Nicaragua,1998 DHS,Region : Atlántico Norte (Raan),27.7,12.8,5.4,0.7,48.8,23.5,3.4,,
Nicaragua,1998 DHS,Region : Atlántico Sur (Raas),27.8,9.4,7.8,3.2,41.6,30.6,3.4,,
Nigeria,2018 DHS,Total 15-49,34.9,10.1,23.3,11,14.4,50.6,6.5,23.9,53.1
Nigeria,2018 DHS,Region : North East,59.1,7.4,11,6.2,12.7,28.2,,13.8,31.8
Nigeria,2018 DHS,Region : North West,63.8,6.6,9.8,4.5,11.2,25,,15.1,29
Nigeria,2018 DHS,Region : South East,4.2,13.9,36.5,15.4,18.5,77.2,11.1,35.8,79.3
Nigeria,2018 DHS,Region : South West,7.9,12.3,39.9,20.4,14.6,77.5,11.3,35.4,80.6
Nigeria,2018 DHS,Region : South South,4.7,12.5,39.4,15.7,15.8,79.5,11.1,41.2,79
Nigeria,2018 DHS,Region : ..FCT Abuja,18.6,12,26.6,18.9,16.4,65,9.7,19.3,67.8
Nigeria,2018 DHS,Region : ..Benue,21.8,12.9,17.8,9.7,23.6,54.6,7.2,14.4,55.8
Nigeria,2018 DHS,Region : ..Kogi,12.8,21.6,32.2,10.3,26.1,61.1,9.5,21.5,57.7
Nigeria,2018 DHS,Region : ..Kwara,31.9,15.8,19.8,16.3,18.4,49.7,6,16.7,53.7
Nigeria,2018 DHS,Region : ..Nasarawa,26.1,11.3,23.1,12.1,16,57.9,8.2,18.7,60.2
Nigeria,2018 DHS,Region : ..Niger,65.1,4.4,13.6,6.2,6.8,28.1,,8.9,25.9
Nigeria,2018 DHS,Region : ..Plateau,18.5,16.1,20.6,10.9,25.1,56.4,7.9,17.7,52.9
Nigeria,2018 DHS,Region : ..Adamawa,47,9.1,20.7,6.2,12.5,40.5,4.8,17.3,39.9
Nigeria,2018 DHS,Region : ..Bauchi,63.4,9.7,5.9,2.7,18.2,18.4,,11.1,26.4
Nigeria,2018 DHS,Region : ..Borno,58.5,5.9,11.7,12.3,8.1,33.4,,16.3,40.6
Nigeria,2018 DHS,Region : ..Gombe,64.8,5.5,10,4.4,9.6,25.6,,15.8,32.1
Nigeria,2018 DHS,Region : ..Taraba,36.7,9.7,13.8,8.1,21.7,41.6,5.1,13.9,35.1
Nigeria,2018 DHS,Region : ..Yobe,75.5,4.9,7.4,3,8.2,16.3,,10,19.5
Nigeria,2018 DHS,Region : ..Jigawa,74.9,5.7,6.9,1.4,9.9,15.2,,8.4,18.1
Nigeria,2018 DHS,Region : ..Kaduna,47,8.4,15.3,7.8,14.4,38.6,3.2,25.9,44.2
